id,character
0,<pad>
1,<sos>
2,<eos>
3,<unk>
4,우니
5,▁헤
6,▁헤이
7,▁우니
8,▁켜
9,▁꺼
10,▁불
11,▁창
12,▁창문
13,▁보
14,▁보일
15,▁보일러
16,▁에
17,어컨
18,▁에어컨
19,▁켜줘
20,▁꺼줘
21,▁닫
22,▁닫아
23,▁열
24,▁열어
25,▁열어줘
26,▁닫아줘
27,▁삐
28,▁삐삐
29,▁좀
30,▁삐삐야
31,▁틀
32,▁틀어
33,▁히
34,▁히터
35,▁틀어줘
36,▁커
37,▁커튼
38,▁불켜
39,▁불꺼
40,▁불꺼줘
41,▁불켜줘
42,▁창문좀
43,▁쳐
44,▁쳐줘
45,▁보일러좀
46,▁헤이우니
47,▁줘
48,▁닫어
49,▁불좀
50,▁끄
51,▁끄자
52,▁닫자
53,▁켜줘어
54,▁에어컨좀
55,어줘
56,▁닫고
57,▁열고
58,▁열자
59,열어줘
60,▁꺼줘어
61,▁열어줘어
62,▁창문열어줘
63,▁우
64,꺼줘
65,끄자
66,닫고
67,닫아
68,닫어
69,닫자
70,러좀
71,문열
72,문좀
73,보일
74,불꺼
75,불좀
76,불켜
77,삐삐
78,삐야
79,아줘
80,에어
81,열고
82,열어
83,열자
84,이우
85,일러
86,줘어
87,창문
88,쳐줘
89,커튼
90,컨좀
91,켜줘
92,틀어
93,헤이
94,히터
95,▁에어
96,어컨좀
97,이우니
98,▁창문열
99,▁
100,.
101,니
102,우
103,이
104,헤
105,줘
106,어
107,켜
108,꺼
109,불
110,문
111,창
112,보
113,일
114,러
115,에
116,컨
117,닫
118,아
119,열
120,삐
121,좀
122,야
123,틀
124,터
125,히
126,커
127,튼
128,자
129,쳐
130,고
131,끄
132,라
